impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,erases,table_size,active,available,tombstones,total_probes,inserts,deletes,lookups,full_scans,compactions,max_in_table,available_pct,load_factor_pct,eff_load_factor_pct,tombstones_pct,average_probes,probe_type,compaction_state
hash_map_double,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,130.029,27380,15360,12020,1279,1024,84,171,161177,13044,12020,0,0,32,1024,6,80,93,13,6.430618,single,compaction_on
hash_map_single,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,116.817,27380,15360,12020,1279,1024,93,162,405526,13044,12020,0,0,26,1024,7,80,92,12,16.179620,double,compaction_on
hash_map_double,lru_profile,lru_profile_N_1048576_S_23.trace,1048576,23,48972.7,27918412,15728640,12189772,1310809,1048576,100078,162155,165502078,13238348,12189772,0,0,32,1048576,7,79,92,12,6.508624,single,compaction_on
hash_map_single,lru_profile,lru_profile_N_1048576_S_23.trace,1048576,23,47305.7,27918412,15728640,12189772,1310809,1048576,101927,160306,448299369,13238348,12189772,0,0,26,1048576,7,79,92,12,17.630063,double,compaction_on
hash_map_double,lru_profile,lru_profile_N_16384_S_23.trace,16384,23,611.487,436365,245760,190605,20479,16384,1486,2609,2589549,206989,190605,0,0,32,16384,7,80,92,12,6.513048,single,compaction_on
hash_map_single,lru_profile,lru_profile_N_16384_S_23.trace,16384,23,678.36,436365,245760,190605,20479,16384,1357,2738,6945498,206989,190605,0,0,26,16384,6,80,93,13,17.468820,double,compaction_on
hash_map_double,lru_profile,lru_profile_N_2048_S_23.trace,2048,23,165.433,54570,30720,23850,2551,2048,269,234,323646,25898,23850,0,0,33,2048,10,80,89,9,6.505709,single,compaction_on
hash_map_single,lru_profile,lru_profile_N_2048_S_23.trace,2048,23,157.559,54570,30720,23850,2551,2048,137,366,824225,25898,23850,0,0,27,2048,5,80,94,14,16.568003,double,compaction_on
hash_map_double,lru_profile,lru_profile_N_262144_S_23.trace,262144,23,8837.38,6979660,3932160,3047500,327739,262144,25524,40071,41327682,3309644,3047500,0,0,32,262144,7,79,92,12,6.500983,single,compaction_on
hash_map_single,lru_profile,lru_profile_N_262144_S_23.trace,262144,23,9907.54,6979660,3932160,3047500,327739,262144,27315,38280,112904513,3309644,3047500,0,0,26,262144,8,79,91,11,17.760257,double,compaction_on
hash_map_double,lru_profile,lru_profile_N_32768_S_23.trace,32768,23,1129.59,872455,491520,380935,40849,32768,3444,4637,5171566,413703,380935,0,0,33,32768,8,80,91,11,6.508078,single,compaction_on
hash_map_single,lru_profile,lru_profile_N_32768_S_23.trace,32768,23,1322.85,872455,491520,380935,40849,32768,6352,1729,14187952,413703,380935,0,0,27,32768,15,80,84,4,17.854611,double,compaction_on
hash_map_double,lru_profile,lru_profile_N_4096_S_23.trace,4096,23,229.067,109001,61440,47561,5101,4096,437,568,647943,51657,47561,0,0,33,4096,8,80,91,11,6.530498,single,compaction_on
hash_map_single,lru_profile,lru_profile_N_4096_S_23.trace,4096,23,235.116,109001,61440,47561,5101,4096,418,587,1746417,51657,47561,0,0,27,4096,8,80,91,11,17.601816,double,compaction_on
hash_map_double,lru_profile,lru_profile_N_524288_S_23.trace,524288,23,19375.3,13958431,7864320,6094111,655243,524288,44344,86611,82773676,6618399,6094111,0,0,32,524288,6,80,93,13,6.511198,single,compaction_on
hash_map_single,lru_profile,lru_profile_N_524288_S_23.trace,524288,23,20207.9,13958431,7864320,6094111,655243,524288,47898,83057,225628201,6618399,6094111,0,0,26,524288,7,80,92,12,17.748517,double,compaction_on
hash_map_double,lru_profile,lru_profile_N_65536_S_23.trace,65536,23,2161.49,1744450,983040,761410,81931,65536,6867,9528,10341305,826946,761410,0,0,32,65536,8,79,91,11,6.510697,single,compaction_on
hash_map_single,lru_profile,lru_profile_N_65536_S_23.trace,65536,23,2534.81,1744450,983040,761410,81931,65536,6574,9821,28220106,826946,761410,0,0,26,65536,8,79,91,11,17.766865,double,compaction_on
hash_map_double,lru_profile,lru_profile_N_8192_S_23.trace,8192,23,342.583,218242,122880,95362,10273,8192,594,1487,1287392,103554,95362,0,0,31,8192,5,79,94,14,6.472038,single,compaction_on
hash_map_single,lru_profile,lru_profile_N_8192_S_23.trace,8192,23,382.974,218242,122880,95362,10273,8192,723,1358,3731898,103554,95362,0,0,25,8192,7,79,92,13,18.761176,double,compaction_on
